book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
A Great and Terrible Beauty (Gemma Doyle  #1)	,  The Hunger Games (The Hunger Games  #1) - 59.77, Catching Fire (The Hunger Games  #2) - 42.27, The Book Thief - 41.46, Rebel Angels (Gemma Doyle  #2) - 48.48, City of Bones (The Mortal Instruments  #1) - 38.07, Twilight (Twilight  #1) - 39.98, The Sweet Far Thing (Gemma Doyle  #3) - 41.38, Graceling (Graceling Realm  #1) - 30.85, Breaking Dawn (Twilight  #4) - 30.22, The Lightning Thief (Percy Jackson and the Olympians  #1) - 30.95 
A Grief Observed	,  The Book Thief - 81.52, The Hunger Games (The Hunger Games  #1) - 62.81, Harry Potter and the Chamber of Secrets (Harry Potter  #2) - 53.44, Catching Fire (The Hunger Games  #2) - 57.02, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 52.63, Water for Elephants - 52.63, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 45.37, The Shack - 41.17, The Curious Incident of the Dog in the Night-Time - 41.17, Mere Christianity - 40.44 
A Hat Full of Sky (Discworld  #32; Tiffany Aching  #2)	,  The Wee Free Men (Discworld  #30; Tiffany Aching  #1) - 83.50, Wintersmith (Discworld  #35; Tiffany Aching  #3) - 59.21, The Hunger Games (The Hunger Games  #1) - 38.20, Catching Fire (The Hunger Games  #2) - 33.43, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter - Witch - 26.09, The Graveyard Book - 22.59, Going Postal (Discworld  #33; Moist von Lipwig  #1) - 20.45, Making Money (Discworld  #36; Moist Von Lipwig  #2) - 17.81, American Gods (American Gods  #1) - 17.27, The Absolutely True Diary of a Part-Time Indian - 16.19 
A Heartbreaking Work of Staggering Genius	,  The Hunger Games (The Hunger Games  #1) - 53.97, Catching Fire (The Hunger Games  #2) - 35.57, The Girl with the Dragon Tattoo (Millennium  #1) - 30.87, The Road - 36.53, The Curious Incident of the Dog in the Night-Time - 33.75, The Book Thief - 33.54, Water for Elephants - 31.43, The Time Traveler's Wife - 25.98, The Handmaid's Tale - 30.91, The Help - 29.60 
A History of the World in 6 Glasses	,  The Hunger Games (The Hunger Games  #1) - 57.86, Catching Fire (The Hunger Games  #2) - 37.65, The Help - 36.17, The Book Thief - 24.48, The Immortal Life of Henrietta Lacks - 24.30, Water for Elephants - 23.31, The Great Gatsby - 22.97, The Girl with the Dragon Tattoo (Millennium  #1) - 21.05, The Handmaid's Tale - 16.18, Ender's Game (Ender's Saga  #1) - 15.07 
A Homemade Life: Stories and Recipes from My Kitchen Table	,  The Hunger Games (The Hunger Games  #1) - 74.29, The Help - 66.94, Catching Fire (The Hunger Games  #2) - 57.40, The Guernsey Literary and Potato Peel Pie Society - 55.02, Eat - Pray - Love - 47.47, The Book Thief - 40.62, Little Bee - 33.23, When You Reach Me - 30.00, The Girl with the Dragon Tattoo (Millennium  #1) - 26.72, Olive Kitteridge - 25.00 
A Hunger Like No Other (Immortals After Dark #2)	,  No Rest for the Wicked (Immortals After Dark #3) - 77.32, Wicked Deeds on a Winter's Night (Immortals After Dark #4) - 65.08, Dark Needs at Night's Edge (Immortals After Dark #5) - 62.45, Dark Lover (Black Dagger Brotherhood  #1) - 47.91, Kiss of a Demon King (Immortals After Dark #7) - 46.39, The Warlord Wants Forever (Immortals After Dark #1) - 44.13, Pleasure of a Dark Prince (Immortals After Dark #9) - 42.29, Dark Desires After Dusk (Immortals After Dark #6) - 39.93, Demon from the Dark (Immortals After Dark #10) - 38.11, Lover Eternal (Black Dagger Brotherhood  #2) - 37.45 
A Kingdom of Dreams (Westmoreland  #1)	,  Whitney - My Love (Westmoreland  #2) - 85.85, Devil in Winter (Wallflowers  #3) - 35.10, The Bride (Lairds' Fiancées  #1) - 27.08, The Duke and I (Bridgertons  #1) - 25.15, Outlander (Outlander  #1) - 24.18, Dreaming of You (The Gamblers  #2) - 24.53, Dark Lover (Black Dagger Brotherhood  #1) - 20.83, Kiss an Angel - 20.54, Mine Till Midnight (The Hathaways  #1) - 19.64, Paradise (Second Opportunities  #1) - 19.27 
A Kiss at Midnight (Fairy Tales  #1)	,  The Hunger Games (The Hunger Games  #1) - 62.20, Nine Rules to Break When Romancing a Rake (Love By Numbers  #1) - 58.29, The Duke and I (Bridgertons  #1) - 50.56, Soulless (Parasol Protectorate  #1) - 39.46, Twilight (Twilight  #1) - 37.53, Catching Fire (The Hunger Games  #2) - 35.56, Outlander (Outlander  #1) - 34.13, Ten Things I Love About You (Bevelstoke  #3) - 35.93, Desperate Duchesses (Desperate Duchesses  #1) - 34.53, Dark Lover (Black Dagger Brotherhood  #1) - 33.60 
A Kiss in Time	,  The Hunger Games (The Hunger Games  #1) - 66.96, Anna and the French Kiss (Anna and the French Kiss  #1) - 49.78, Beastly (Beastly  #1; Kendra Chronicles  #1) - 50.85, Shiver (The Wolves of Mercy Falls  #1) - 41.08, Graceling (Graceling Realm  #1) - 39.88, Catching Fire (The Hunger Games  #2) - 37.89, City of Bones (The Mortal Instruments  #1) - 43.82, Hush - Hush (Hush - Hush  #1) - 34.34, The Maze Runner (Maze Runner  #1) - 29.17, The Iron King (The Iron Fey  #1) - 28.07 
A Kiss of Shadows (Merry Gentry  #1)	,  Twilight (Twilight  #1) - 63.12, Darkfever (Fever  #1) - 53.28, Dark Lover (Black Dagger Brotherhood  #1) - 59.11, Dead Until Dark (Sookie Stackhouse  #1) - 54.23, The Hunger Games (The Hunger Games  #1) - 41.99, Guilty Pleasures (Anita Blake - Vampire Hunter  #1) - 49.42, Moon Called (Mercy Thompson  #1) - 48.28, Halfway to the Grave (Night Huntress  #1) - 49.22, City of Bones (The Mortal Instruments  #1) - 38.38, Outlander (Outlander  #1) - 33.18 
A Knight in Shining Armor	,  The Hunger Games (The Hunger Games  #1) - 71.05, Outlander (Outlander  #1) - 38.96, Twilight (Twilight  #1) - 36.30, Catching Fire (The Hunger Games  #2) - 30.59, The Book Thief - 31.88, The Help - 29.63, Anna and the French Kiss (Anna and the French Kiss  #1) - 15.69, Dead Until Dark (Sookie Stackhouse  #1) - 15.36, Darkfever (Fever  #1) - 15.91, Bloodfever (Fever  #2) - 14.76 
A Lesson Before Dying	,  The Book Thief - 73.12, The Hunger Games (The Hunger Games  #1) - 71.80, The Help - 71.66, The Great Gatsby - 43.44, The Glass Castle - 42.39, The Guernsey Literary and Potato Peel Pie Society - 43.93, The Girl with the Dragon Tattoo (Millennium  #1) - 43.27, Olive Kitteridge - 41.78, Never Let Me Go - 37.30, Catching Fire (The Hunger Games  #2) - 37.30 
A Lesson in Secrets (Maisie Dobbs  #8)	,  The Mapping of Love and Death (Maisie Dobbs  #7) - 72.22, Maisie Dobbs (Maisie Dobbs  #1) - 55.29, Messenger of Truth (Maisie Dobbs  #4) - 49.22, Pardonable Lies (Maisie Dobbs  #3) - 44.71, The Help - 38.80, The Girl with the Dragon Tattoo (Millennium  #1) - 38.80, Birds of a Feather (Maisie Dobbs  #2) - 38.33, The Guernsey Literary and Potato Peel Pie Society - 36.16, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 31.39, The Book Thief - 31.71 
A Light in the Attic	,  Where the Sidewalk Ends - 82.73, The Hunger Games (The Hunger Games  #1) - 46.16, Twilight (Twilight  #1) - 44.02, Catching Fire (The Hunger Games  #2) - 35.19, The Giving Tree - 33.86, Green Eggs and Ham - 29.67, Harry Potter and the Half-Blood Prince (Harry Potter  #6) - 24.50, The Giver (The Giver  #1) - 24.01, The Lightning Thief (Percy Jackson and the Olympians  #1) - 23.70, The Book Thief - 21.94 
A Lion Among Men (The Wicked Years  #3)	,  Son of a Witch (The Wicked Years  #2) - 46.43, Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years  #1) - 47.17, The Hunger Games (The Hunger Games  #1) - 41.62, Catching Fire (The Hunger Games  #2) - 33.79, The Book Thief - 32.91, Twilight (Twilight  #1) - 26.75, The Girl with the Dragon Tattoo (Millennium  #1) - 26.75, The Help - 23.32, A Game of Thrones (A Song of Ice and Fire  #1) - 19.17, The Graveyard Book - 17.98 
A Little Princess	,  The Secret Garden - 83.33, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 77.29, The Hunger Games (The Hunger Games  #1) - 77.50, Catching Fire (The Hunger Games  #2) - 71.46, The Book Thief - 67.13, Pride and Prejudice - 59.21, The Giver (The Giver  #1) - 59.56, Twilight (Twilight  #1) - 49.38, The Help - 45.48, To Kill a Mockingbird - 42.18 
A Living Nightmare (Cirque Du Freak  #1)	,  The Hunger Games (The Hunger Games  #1) - 56.47, Catching Fire (The Hunger Games  #2) - 43.30, Twilight (Twilight  #1) - 43.00, City of Bones (The Mortal Instruments  #1) - 42.40, The Lightning Thief (Percy Jackson and the Olympians  #1) - 40.83, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 37.31, The Graveyard Book - 25.13, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 28.49, A Game of Thrones (A Song of Ice and Fire  #1) - 22.31, The Perks of Being a Wallflower - 25.94 
A Local Habitation (October Daye  #2)	,  Rosemary and Rue (October Daye  #1) - 62.16, An Artificial Night (October Daye  #3) - 52.98, The Hunger Games (The Hunger Games  #1) - 24.04, Magic Bites (Kate Daniels  #1) - 21.95, Soulless (Parasol Protectorate  #1) - 18.08, Magic Burns (Kate Daniels  #2) - 16.52, Storm Front (The Dresden Files  #1) - 14.71, The Magicians (The Magicians #1) - 13.36, On the Edge (The Edge  #1) - 13.36, Catching Fire (The Hunger Games  #2) - 14.00 
A Long Way Down	,  The Hunger Games (The Hunger Games  #1) - 54.86, Catching Fire (The Hunger Games  #2) - 50.89, The Book Thief - 46.86, Water for Elephants - 36.96, The Road - 34.64, The Girl with the Dragon Tattoo (Millennium  #1) - 32.34, The Handmaid's Tale - 28.43, The Help - 26.92, The Curious Incident of the Dog in the Night-Time - 29.09, Life of Pi - 28.23 
A Long Way Gone: Memoirs of a Boy Soldier	,  The Hunger Games (The Hunger Games  #1) - 77.00, The Help - 59.96, The Book Thief - 52.73, Catching Fire (The Hunger Games  #2) - 44.52, The Glass Castle - 40.22, The Girl with the Dragon Tattoo (Millennium  #1) - 39.61, Water for Elephants - 38.65, Twilight (Twilight  #1) - 36.55, A Thousand Splendid Suns - 36.13, The Road - 32.24 
A Long Way from Chicago (A Long Way from Chicago  #1)	,  Catching Fire (The Hunger Games  #2) - 77.42, The Help - 66.78, The Giver (The Giver  #1) - 66.78, A Year Down Yonder (A Long Way from Chicago  #2) - 65.18, The Hunger Games (The Hunger Games  #1) - 60.74, The Book Thief - 47.61, The Lightning Thief (Percy Jackson and the Olympians  #1) - 44.37, The Graveyard Book - 43.13, When You Reach Me - 39.88, The Perks of Being a Wallflower - 34.31 
A Man Without a Country	,  The Hunger Games (The Hunger Games  #1) - 86.00, Slaughterhouse-Five - 59.63, The Road - 55.27, Cat's Cradle - 51.43, Catching Fire (The Hunger Games  #2) - 40.60, The Girl with the Dragon Tattoo (Millennium  #1) - 41.66, The Great Gatsby - 38.20, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 36.80, The Handmaid's Tale - 34.03, Breakfast of Champions - 30.88 
A Mango-Shaped Space	,  The Book Thief - 65.91, The Hunger Games (The Hunger Games  #1) - 62.61, Looking for Alaska - 51.18, Catching Fire (The Hunger Games  #2) - 47.86, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 49.00, Twilight (Twilight  #1) - 41.85, Will Grayson - Will Grayson - 39.73, The Perks of Being a Wallflower - 34.39, When You Reach Me - 36.93, Paper Towns - 34.09 
A Map of the World	,  Water for Elephants - 57.14, The Girl with the Dragon Tattoo (Millennium  #1) - 44.21, The Secret Life of Bees - 45.70, A Thousand Splendid Suns - 35.29, Little Bee - 34.41, The Guernsey Literary and Potato Peel Pie Society - 32.65, The Help - 32.03, The Hunger Games (The Hunger Games  #1) - 28.91, The Kite Runner - 24.00, Catching Fire (The Hunger Games  #2) - 23.33 
A Match Made in High School	,  Anna and the French Kiss (Anna and the French Kiss  #1) - 65.38, The Hunger Games (The Hunger Games  #1) - 69.79, The DUFF: Designated Ugly Fat Friend - 43.37, Hex Hall (Hex Hall  #1) - 35.00, City of Bones (The Mortal Instruments  #1) - 35.79, Hush - Hush (Hush - Hush  #1) - 33.37, Catching Fire (The Hunger Games  #2) - 31.92, Perfect Chemistry (Perfect Chemistry  #1) - 25.94, If I Stay (If I Stay  #1) - 25.09, Shiver (The Wolves of Mercy Falls  #1) - 22.56 
A Matter of Class	,  The Hunger Games (The Hunger Games  #1) - 57.35, The Guernsey Literary and Potato Peel Pie Society - 57.35, Outlander (Outlander  #1) - 23.08, The Help - 19.87, Shiver (The Wolves of Mercy Falls  #1) - 0.00, What Happens in London (Bevelstoke  #2) - 0.00, A Kiss at Midnight (Fairy Tales  #1) - 0.00, Graceling (Graceling Realm  #1) - 0.00, The Thirteenth Tale - 0.00, The Book Thief - 0.00 
A Mercy	,  The Help - 61.96, The Book Thief - 60.44, The Hunger Games (The Hunger Games  #1) - 53.86, Catching Fire (The Hunger Games  #2) - 49.73, The Guernsey Literary and Potato Peel Pie Society - 49.47, The Girl with the Dragon Tattoo (Millennium  #1) - 42.12, The Road - 42.65, Water for Elephants - 31.74, Olive Kitteridge - 28.02, To Kill a Mockingbird - 28.02 
A Midsummer Night's Dream	,  Romeo and Juliet - 78.76, The Hunger Games (The Hunger Games  #1) - 71.46, Macbeth - 64.82, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 63.23, Catching Fire (The Hunger Games  #2) - 56.32, Hamlet - 53.98, The Catcher in the Rye - 50.11, Othello - 55.10, Animal Farm - 48.30, Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) - 48.02 
A Million Little Pieces	,  Water for Elephants - 56.07, The Girl with the Dragon Tattoo (Millennium  #1) - 57.10, The Hunger Games (The Hunger Games  #1) - 52.69, The Book Thief - 52.62, The Help - 54.94, The Kite Runner - 50.01, Twilight (Twilight  #1) - 45.19, Eat - Pray - Love - 44.85, Catching Fire (The Hunger Games  #2) - 41.74, The Time Traveler's Wife - 38.96 
A Million Miles in a Thousand Years: What I Learned While Editing My Life	,  The Hunger Games (The Hunger Games  #1) - 71.88, The Book Thief - 52.79, The Giver (The Giver  #1) - 29.45, The Help - 28.25, Catching Fire (The Hunger Games  #2) - 25.84, The Shack - 24.10, The Guernsey Literary and Potato Peel Pie Society - 21.54, Ender's Game (Ender's Saga  #1) - 12.13, Twilight (Twilight  #1) - 11.24, The Immortal Life of Henrietta Lacks - 10.65 
A Modest Proposal	,  The Hunger Games (The Hunger Games  #1) - 73.75, The Great Gatsby - 64.81, Catching Fire (The Hunger Games  #2) - 37.33, Animal Farm - 32.59, 1984 - 27.98, The Hobbit - 24.40, The Book Thief - 16.24, The Girl with the Dragon Tattoo (Millennium  #1) - 14.96, The Handmaid's Tale - 8.80, The Giver (The Giver  #1) - 8.33 
A Monstrous Regiment of Women (Mary Russell  #2)	,  The Beekeeper's Apprentice (Mary Russell  #1) - 76.49, The Hunger Games (The Hunger Games  #1) - 39.54, Catching Fire (The Hunger Games  #2) - 20.11, The Help - 18.80, The Girl with the Dragon Tattoo (Millennium  #1) - 17.65, The Book Thief - 14.51, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 14.06, The Guernsey Literary and Potato Peel Pie Society - 13.62, The Language of Bees (Mary Russell  #9) - 14.24, The God of the Hive (Mary Russell  #10) - 13.18 
A Morbid Taste for Bones (Chronicles of Brother Cadfael  #1)	,  The Hunger Games (The Hunger Games  #1) - 71.32, The Book Thief - 33.13, Catching Fire (The Hunger Games  #2) - 27.00, Storm Front (The Dresden Files  #1) - 24.10, The Guernsey Literary and Potato Peel Pie Society - 22.40, In the Woods (Dublin Murder Squad  #1) - 21.98, The Pillars of the Earth (Kingsbridge  #1) - 20.29, The Girl with the Dragon Tattoo (Millennium  #1) - 19.87, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 21.10, The Name of the Wind (The Kingkiller Chronicle  #1) - 19.18 
A Moveable Feast	,  The Hunger Games (The Hunger Games  #1) - 70.45, The Book Thief - 67.73, The Great Gatsby - 66.53, The Sun Also Rises - 59.66, To Kill a Mockingbird - 54.55, The Girl with the Dragon Tattoo (Millennium  #1) - 48.61, Catching Fire (The Hunger Games  #2) - 40.64, The Help - 35.36, The Immortal Life of Henrietta Lacks - 32.28, The Road - 38.78 
A Murder Is Announced (Miss Marple  #5)	,  Murder at the Vicarage (Miss Marple  #1) - 75.00, The Body in the Library (Miss Marple  #3) - 56.67, And Then There Were None - 52.17, The Moving Finger (Miss Marple  #4) - 49.54, 4:50 from Paddington (Miss Marple  #8) - 47.48, The Murder of Roger Ackroyd (Hercule Poirot  #4) - 32.89, Pride and Prejudice - 24.71, The Help - 24.71, Catching Fire (The Hunger Games  #2) - 23.25, The Girl with the Dragon Tattoo (Millennium  #1) - 23.25 
A New Earth: Awakening to Your Life's Purpose	,  The Alchemist - 75.61, The Help - 63.43, Eat - Pray - Love - 61.02, The Hunger Games (The Hunger Games  #1) - 58.03, Water for Elephants - 57.29, The Power of Now: A Guide to Spiritual Enlightenment - 69.14, Twilight (Twilight  #1) - 53.55, A Thousand Splendid Suns - 40.86, Life of Pi - 38.52, The Girl with the Dragon Tattoo (Millennium  #1) - 36.54 
A Northern Light	,  The Hunger Games (The Hunger Games  #1) - 74.44, Catching Fire (The Hunger Games  #2) - 64.01, The Help - 56.85, The Book Thief - 54.42, The Guernsey Literary and Potato Peel Pie Society - 41.54, The Girl with the Dragon Tattoo (Millennium  #1) - 34.59, If I Stay (If I Stay  #1) - 32.16, The Graveyard Book - 32.43, City of Bones (The Mortal Instruments  #1) - 29.81, Shiver (The Wolves of Mercy Falls  #1) - 29.34 
A Painted House	,  The Hunger Games (The Hunger Games  #1) - 62.00, The Book Thief - 36.75, Twilight (Twilight  #1) - 34.91, The Girl with the Dragon Tattoo (Millennium  #1) - 32.67, The Girl Who Played with Fire (Millennium  #2) - 28.01, Water for Elephants - 27.85, Catching Fire (The Hunger Games  #2) - 23.55, The Help - 25.15, To Kill a Mockingbird - 23.61, A Thousand Splendid Suns - 20.40 
A Passage to India	,  To Kill a Mockingbird - 58.57, The Great Gatsby - 48.70, The Book Thief - 41.11, The Hunger Games (The Hunger Games  #1) - 39.51, The Help - 36.75, 1984 - 36.75, Pride and Prejudice - 31.52, Life of Pi - 27.08, Never Let Me Go - 22.81, The Girl with the Dragon Tattoo (Millennium  #1) - 21.05 
A People's History of the United States	,  The Hunger Games (The Hunger Games  #1) - 80.36, The Handmaid's Tale - 74.11, The Kite Runner - 72.11, The Girl with the Dragon Tattoo (Millennium  #1) - 65.88, 1984 - 62.59, Catching Fire (The Hunger Games  #2) - 63.72, The Great Gatsby - 60.54, Slaughterhouse-Five - 54.47, The Road - 47.06, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 46.22 
A Piece of Cake	,  The Help - 72.50, Catching Fire (The Hunger Games  #2) - 59.87, The Hunger Games (The Hunger Games  #1) - 51.05, The Glass Castle - 38.28, The Girl with the Dragon Tattoo (Millennium  #1) - 26.25, The Book Thief - 23.75, Sarah's Key - 8.65, Little Bee - 0.00, Thirteen Reasons Why - 0.00, The Art of Racing in the Rain - 0.00 
A Place Called Here	,  The Hunger Games (The Hunger Games  #1) - 51.00, The Help - 40.06, P.S. I Love You - 34.59, Catching Fire (The Hunger Games  #2) - 24.06, Thanks for the Memories - 32.64, Love - Rosie - 30.88, If You Could See Me Now - 27.73, The Book of Tomorrow - 19.52, New Moon (Twilight  #2) - 12.38, The Book Thief - 13.01 
